sample,dac_signed
467,-44
468,-44
469,-44
470,-43
471,-42
472,-41
473,-38
474,-38
475,-36
476,-33
477,-32
478,-30
479,-28
480,-26
481,-23
482,-20
483,-18
484,-15
485,-13
486,-10
487,-7
488,-3
489,-1
490,3
491,6
492,9
493,12
494,14
495,18
496,20
497,22
498,25
499,28
500,29
501,32
502,34
503,35
504,37
505,38
506,40
507,41
508,43
509,43
510,43
511,44
512,44
513,45
514,45
515,45
516,44
517,43
518,42
519,41
520,45
521,43
522,41
523,39
524,36
525,36
526,33
527,30
528,28
529,25
530,23
531,20
532,18
533,13
534,10
535,7
536,5
537,1
538,-3
539,-4
540,-9
541,-11
542,-14
543,-18
544,-19
545,-22
546,-24
547,-27
548,-29
549,-29
550,-32
551,-35
552,-36
553,-37
554,-40
555,-40
556,-40
557,-41
558,-42
559,-43
560,-42
561,-42
562,-42
563,-41
564,-41
565,-40
566,-39
567,-38
568,-37
569,-36
570,-35
571,-33
572,-31
573,-29
574,-28
575,-24
576,-22
577,-22
578,-20
579,-16
580,-15
581,-13
582,-10
583,-8
584,-6
585,-3
586,-2
587,0
588,4
589,5
590,7
591,10
592,11
593,13
594,14
595,16
596,17
597,18
598,21
599,21
600,22
601,22
602,23
603,24
604,24
605,24
606,23
607,24
608,23
609,23
610,22
611,22
612,22
613,20
614,21
615,19
616,18
617,16
618,16
619,15
620,13
621,13
622,11
623,8
624,8
625,8
626,6
627,4
628,4
629,1
630,0
631,0
632,-3
633,-3
634,-4
635,-4
636,-6
637,-6
638,-7
639,-8
640,-8
641,-8
642,-8
643,-8
644,-9
645,-10
646,-10
647,-8
648,-8
649,-8
650,-7
651,-9
652,-7
653,-8
654,-6
655,-5
656,-5
657,-3
658,-3
659,-3
660,-2
661,0
662,0
663,0
664,2
665,2
666,3
667,4
668,5
669,5
670,5
671,7
672,7
673,7
674,7
675,8
676,7
677,8
678,7
679,8
680,6
681,8
682,7
683,6
684,6
685,5
686,4
687,2
688,3
689,1
690,0
691,-1
692,-1
693,-2
694,-2
695,-4
696,-6
697,-7
698,-8
699,-9
700,-10
701,-12
702,-13
703,-14
704,-14
705,-16
706,-16
707,-17
708,-18
709,-18
710,-19
711,-20
712,-21
713,-21
714,-22
715,-23
716,-24
717,-24
718,-24
719,-24
720,-23
721,-23
722,-22
723,-22
724,-23
725,-18
726,-20
727,-17
728,-16
729,-16
730,-15
731,-13
732,-13
733,-11
734,-9
735,-8
736,-7
737,-4
738,-2
739,-2
740,0
741,2
742,2
743,5
744,6
745,6
746,10
747,10
748,13
749,13
750,16
751,16
752,17
753,18
754,18
755,20
756,20
757,20
758,22
759,22
760,21
761,23
762,23
763,23
764,23
765,23
766,23
767,21
768,21
769,20
770,19
771,20
772,18
773,17
774,18
775,16
776,14
777,15
778,12
779,11
780,13
781,11
782,9
783,8
784,7
785,6
786,4
787,3
788,3
789,-1
790,-1
791,-1
792,-4
793,-4
794,-5
795,-6
796,-8
797,-9
798,-8
799,-9
800,-10
801,-10
802,-10
803,-10
804,-11
805,-10
806,-11
807,-11
808,-11
809,-13
810,-11
811,-12
812,-13
813,-12
814,-11
815,-11
816,-11
817,-10
818,-10
819,-11
820,-10
821,-9
822,-11
823,-10
824,-9
825,-10
826,-9
827,-10
828,-9
829,-10
830,-9
831,-8
832,-10
833,-9
834,-8
835,-9
836,-11
837,-9
838,-10
839,-11
840,-11
841,-12
842,-13
843,-12
844,-13
845,-14
846,-16
847,-17
848,-17
849,-17
850,-17
851,-20
852,-20
853,-18
854,-19
855,-20
856,-19
857,-20
858,-20
859,-20
860,-19
861,-20
862,-21
863,-19
864,-19
865,-19
866,-19
867,-17
868,-16
869,-16
870,-14
871,-13
872,-12
873,-10
874,-9
875,-8
876,-6
877,-3
878,-2
879,1
880,3
881,5
882,5
883,10
884,11
885,14
886,16
887,18
888,22
889,25
890,26
891,28
892,32
893,33
894,34
895,37
896,39
897,41
898,41
899,45
900,45
901,47
902,47
903,49
904,49
905,48
906,51
907,51
908,49
909,48
910,53
911,52
912,51
913,50
914,49
915,46
916,44
917,41
918,39
919,36
920,34
921,29
922,27
923,24
924,18
925,16
926,12
927,7
928,4
929,0
930,-5
931,-10
932,-14
933,-19
934,-23
935,-26
936,-31
937,-37
938,-41
939,-45
940,-50
941,-53
942,-57
943,-61
944,-64
945,-67
946,-69
947,-72
948,-75
949,-76
950,-77
951,-79
952,-81
953,-81
954,-82
955,-83
956,-82
957,-81
958,-81
959,-78
960,-77
961,-75
962,-73
963,-70
964,-68
965,-63
966,-60
967,-58
968,-54
969,-49
970,-45
971,-41
972,-35
973,-31
974,-25
975,-19
976,-15
977,-9
978,-4
979,3
980,7
981,15
982,21
983,27
984,32
985,38
986,43
987,47
988,53
989,57
990,61
991,67
992,70
993,74
994,76
995,80
996,82
997,85
998,87
999,88
1000,89
1001,91
1002,91
1003,91
1004,90
1005,91
1006,89
1007,87
1008,86
1009,83
1010,82
1011,78
1012,75
1013,72
1014,68
1015,63
1016,60
1017,55
1018,49
1019,46
1020,40
1021,36
1022,30
1023,22
1024,17
1025,12
1026,7
1027,0
1028,-3
1029,-8
1030,-15
1031,-20
1032,-26
1033,-30
1034,-35
1035,-39
1036,-44
1037,-48
1038,-51
1039,-56
1040,-59
1041,-61
1042,-65
1043,-67
1044,-69
1045,-71
1046,-74
1047,-74
1048,-75
1049,-76
1050,-75
1051,-75
1052,-75
1053,-74
1054,-73
1055,-70
1056,-69
1057,-67
1058,-66
1059,-62
1060,-59
1061,-57
1062,-53
1063,-49
1064,-46
1065,-41
1066,-38
1067,-35
1068,-30
1069,-27
1070,-23
1071,-17
1072,-14
1073,-8
1074,-6
1075,-1
1076,3
1077,6
1078,11
1079,14
1080,17
1081,21
1082,23
1083,27
1084,30
1085,32
1086,34
1087,38
1088,40
1089,40
1090,42
1091,43
1092,45
1093,45
1094,46
1095,45
1096,45
1097,44
1098,44
1099,44
1100,42
1101,42
1102,40
1103,38
1104,36
1105,35
1106,33
1107,29
1108,29
1109,28
1110,26
1111,22
1112,19
1113,18
1114,14
1115,13
1116,9
1117,8
1118,5
1119,2
1120,1
1121,-2
1122,-4
1123,-6
1124,-8
1125,-9
1126,-11
1127,-13
1128,-12
1129,-15
1130,-15
1131,-16
1132,-17
1133,-18
1134,-18
1135,-18
1136,-18
1137,-18
1138,-16
1139,-17
1140,-17
1141,-15
1142,-14
1143,-14
1144,-12
1145,-11
1146,-9
1147,-8
1148,-5
1149,-6
1150,-4
1151,-2
1152,-2
1153,1
1154,0
1155,4
1156,5
1157,6
1158,8
1159,9
1160,11
1161,12
1162,12
1163,14
1164,15
1165,16
1166,15
1167,17
1168,18
1169,16
1170,17
1171,17
1172,18
1173,15
1174,16
1175,14
1176,13
1177,14
1178,12
1179,10
1180,10
1181,9
1182,7
1183,5
1184,4
1185,2
1186,0
1187,-2
1188,-3
1189,-7
1190,-7
1191,-10
1192,-12
1193,-13
1194,-16
1195,-16
1196,-19
1197,-21
1198,-22
1199,-25
1200,-25
1201,-26
1202,-28
1203,-29
1204,-30
1205,-30
1206,-32
1207,-32
1208,-32
1209,-34
1210,-32
1211,-32
1212,-33
1213,-34
1214,-31
1215,-30
1216,-29
1217,-28
1218,-26
1219,-27
1220,-24
1221,-23
1222,-23
1223,-19
1224,-16
1225,-16
1226,-14
1227,-11
1228,-9
1229,-8
1230,-4
1231,-2
1232,0
1233,3
1234,4
1235,7
1236,9
1237,13
1238,14
1239,17
1240,20
1241,21
1242,23
1243,24
1244,26
1245,28
1246,29
1247,31
1248,32
1249,32
1250,34
1251,34
1252,35
1253,35
1254,37
1255,36
1256,36
1257,37
1258,36
1259,35
1260,36
1261,34
1262,33
1263,32
1264,32
1265,29
1266,29
1267,28
1268,27
1269,24
1270,24
1271,21
1272,18
1273,19
1274,16
1275,15
1276,13
1277,11
1278,9
1279,6
1280,5
1281,2
1282,1
1283,0
1284,-3
1285,-4
1286,-6
1287,-6
1288,-9
1289,-9
1290,-10
1291,-12
1292,-12
1293,-14
1294,-14
1295,-15
1296,-15
1297,-17
1298,-17
1299,-18
1300,-18
1301,-19
1302,-20
1303,-20
1304,-18
1305,-20
1306,-20
1307,-20
1308,-20
1309,-20
1310,-18
1311,-19
1312,-18
1313,-17
1314,-17
1315,-17
1316,-18
1317,-17
1318,-18
1319,-16
1320,-16
1321,-16
1322,-15
1323,-14
1324,-16
1325,-15
1326,-14
1327,-15
1328,-15
1329,-14
1330,-14
1331,-15
1332,-14
1333,-14
1334,-15
1335,-15
1336,-15
1337,-15
1338,-15
1339,-15
1340,-16
1341,-15
1342,-16
1343,-15
1344,-14
1345,-15
1346,-14
1347,-14
1348,-13
1349,-14
1350,-13
1351,-14
1352,-14
1353,-13
1354,-13
1355,-11
1356,-11
1357,-10
1358,-9
1359,-7
1360,-7
1361,-7
1362,-5
1363,-3
1364,-2
1365,0
1366,3
1367,5
1368,5
1369,9
1370,9
1371,11
1372,15
1373,16
1374,18
1375,21
1376,23
1377,25
1378,27
1379,29
1380,31
1381,34
1382,35
1383,38
1384,40
1385,41
1386,43
1387,44
1388,46
1389,46
1390,48
1391,50
1392,50
1393,51
1394,52
1395,53
1396,52
1397,52
1398,51
1399,51
1400,51
1401,50
1402,49
1403,48
1404,45
1405,44
1406,42
1407,38
1408,34
1409,33
1410,30
1411,27
1412,24
1413,21
1414,16
1415,12
1416,9
1417,4
1418,1
1419,-3
1420,-8
1421,-12
1422,-16
1423,-21
1424,-25
1425,-30
1426,-33
1427,-38
1428,-41
1429,-46
1430,-49
1431,-53
1432,-57
1433,-61
1434,-64
1435,-66
1436,-70
1437,-71
1438,-74
1439,-77
1440,-77
1441,-78
1442,-80
1443,-80
1444,-81
1445,-81
1446,-80
1447,-80
1448,-80
1449,-77
1450,-75
1451,-73
1452,-70
1453,-68
1454,-65
1455,-61
1456,-58
1457,-55
1458,-51
1459,-46
1460,-42
1461,-38
1462,-33
1463,-27
1464,-23
1465,-17
1466,-11
1467,-7
1468,1
1469,4
1470,11
1471,19
1472,22
1473,28
1474,33
1475,39
1476,44
1477,49
1478,53
1479,57
1480,63
1481,66
1482,70
1483,73
1484,77
1485,79
1486,82
1487,85
1488,85
1489,88
1490,88
1491,89
1492,89
1493,90
1494,89
1495,89
1496,88
1497,85
1498,84
1499,82
1500,79
1501,75
1502,73
1503,69
1504,65
1505,62
1506,58
1507,52
1508,49
1509,44
1510,39
1511,33
1512,27
1513,22
1514,16
1515,10
1516,4
1517,-1
1518,-6
1519,-13
1520,-17
1521,-23
1522,-27
1523,-32
1524,-37
1525,-41
1526,-46
1527,-50
1528,-54
1529,-58
1530,-61
1531,-64
1532,-66
1533,-69
1534,-71
1535,-74
1536,-75
1537,-77
1538,-77
1539,-77
1540,-77
1541,-77
1542,-76
1543,-75
1544,-74
1545,-72
1546,-70
1547,-69
1548,-65
1549,-63
1550,-59
1551,-55
1552,-53
1553,-49
1554,-47
1555,-41
1556,-39
1557,-34
1558,-29
1559,-25
1560,-21
1561,-16
1562,-10
1563,-8
1564,-3
1565,1
1566,5
1567,11
1568,14
1569,17
1570,19
1571,25
1572,27
1573,30
1574,33
1575,36
1576,38
1577,41
1578,44
1579,44
1580,47
1581,47
1582,49
1583,49
1584,49
1585,49
1586,49
1587,48
1588,48
1589,47
1590,47
1591,44
1592,42
1593,41
1594,39
1595,38
1596,34
1597,33
1598,30
1599,27
1600,25
1601,23
1602,21
1603,16
1604,15
1605,13
1606,9
1607,6
1608,4
1609,0
1610,-3
1611,-4
1612,-8
1613,-9
1614,-10
1615,-14
1616,-16
1617,-16
1618,-17
1619,-20
1620,-20
1621,-21
1622,-22
1623,-23
1624,-23
1625,-23
1626,-23
1627,-23
1628,-23
1629,-23
1630,-20
1631,-20
1632,-19
1633,-17
1634,-17
1635,-15
1636,-14
1637,-12
1638,-11
1639,-9
1640,-6
1641,-4
1642,-4
1643,-3
1644,1
1645,2
1646,3
1647,8
1648,8
1649,10
1650,10
1651,13
1652,14
1653,15
1654,17
1655,17
1656,19
1657,21
1658,21
1659,21
1660,22
1661,22
1662,22
1663,21
1664,20
1665,20
1666,19
1667,18
1668,18
1669,16
1670,16
1671,14
1672,12
1673,11
1674,8
1675,7
1676,5
1677,5
1678,1
1679,-2
1680,-3
1681,-6
1682,-8
1683,-10
1684,-12
1685,-15
1686,-16
1687,-18
1688,-21
1689,-23
1690,-24
1691,-26
1692,-29
1693,-29
1694,-31
1695,-33
1696,-34
1697,-35
1698,-35
1699,-36
1700,-36
1701,-37
1702,-37
1703,-37
1704,-36
1705,-36
1706,-35
1707,-34
1708,-34
1709,-32
1710,-31
1711,-28
1712,-27
1713,-25
1714,-23
1715,-21
1716,-19
1717,-17
1718,-17
1719,-13
1720,-9
1721,-8
1722,-5
1723,-2
1724,-1
1725,3
1726,6
1727,10
1728,11
1729,15
1730,17
1731,20
1732,21
1733,24
1734,26
1735,28
1736,31
1737,32
1738,34
1739,35
1740,37
1741,38
1742,39
1743,40
1744,41
1745,42
1746,41
1747,42
1748,43
1749,41
1750,42
1751,40
1752,39
1753,40
1754,38
1755,37
1756,36
1757,36
1758,33
1759,32
1760,30
1761,27
1762,26
1763,25
1764,22
1765,20
1766,19
1767,16
1768,14
1769,13
1770,8
1771,7
1772,4
1773,2
1774,-1
1775,-3
1776,-5
1777,-7
1778,-8
1779,-10
1780,-12
1781,-13
1782,-16
1783,-17
1784,-17
1785,-19
1786,-21
1787,-22
1788,-23
1789,-24
1790,-24
1791,-26
1792,-27
1793,-25
1794,-27
1795,-28
1796,-27
1797,-27
1798,-29
1799,-27
1800,-26
1801,-28
1802,-26
1803,-26
1804,-27
1805,-26
1806,-26
1807,-25
1808,-24
1809,-23
1810,-23
1811,-23
1812,-22
1813,-20
1814,-21
1815,-19
1816,-18
1817,-18
1818,-17
1819,-17
1820,-16
1821,-15
1822,-15
1823,-15
1824,-14
1825,-13
1826,-13
1827,-12
1828,-12
1829,-12
1830,-11
1831,-11
1832,-11
1833,-10
1834,-9
1835,-8
1836,-7
1837,-7
1838,-7
1839,-6
1840,-6
1841,-6
1842,-5
1843,-4
1844,-3
1845,-4
1846,-2
1847,0
1848,-1
1849,1
1850,1
1851,3
1852,4
1853,6
1854,6
1855,8
1856,10
1857,10
1858,11
1859,13
1860,15
1861,16
1862,18
1863,20
1864,21
1865,23
1866,25
1867,26
1868,28
1869,29
1870,31
1871,33
1872,35
1873,36
1874,36
1875,40
1876,40
1877,40
1878,41
1879,43
1880,43
1881,44
1882,44
1883,44
1884,45
1885,45
1886,45
1887,45
1888,43
1889,44
1890,44
1891,41
1892,40
1893,40
1894,37
1895,36
1896,34
1897,32
1898,28
1899,26
1900,23
1901,20
1902,17
1903,13
1904,10
1905,7
1906,5
1907,0
1908,-3
1909,-7
1910,-11
1911,-14
1912,-19
1913,-23
1914,-27
1915,-30
1916,-35
1917,-38
1918,-41
1919,-47
1920,-49
1921,-52
1922,-55
1923,-59
1924,-60
1925,-64
1926,-65
1927,-68
1928,-71
1929,-70
1930,-73
1931,-74
1932,-74
1933,-74
1934,-76
1935,-75
1936,-75
1937,-75
1938,-74
1939,-72
1940,-70
1941,-68
1942,-65
1943,-62
1944,-60
1945,-56
1946,-54
1947,-50
1948,-45
1949,-42
1950,-38
1951,-32
1952,-28
1953,-24
1954,-19
1955,-14
1956,-9
1957,-3
1958,2
1959,7
1960,12
1961,19
1962,24
1963,29
1964,35
1965,39
1966,45
1967,50
1968,53
1969,58
1970,61
1971,65
1972,69
1973,72
1974,74
1975,78
1976,81
1977,81
1978,84
1979,86
1980,86
1981,87
1982,87
1983,87
1984,87
1985,86
1986,85
1987,83
1988,82
1989,79
1990,76
1991,74
1992,70
1993,66
1994,63
1995,60
1996,54
1997,51
1998,46
1999,39
2000,36
2001,30
2002,26
2003,20
2004,16
2005,8
2006,3
2007,-3
2008,-9
2009,-14
2010,-20
2011,-23
2012,-29
2013,-34
2014,-38
2015,-44
2016,-47
2017,-52
2018,-55
2019,-59
2020,-62
2021,-65
2022,-68
2023,-70
2024,-71
2025,-74
2026,-76
2027,-77
2028,-77
2029,-78
2030,-78
2031,-77
2032,-77
2033,-75
2034,-75
2035,-72
2036,-71
2037,-69
2038,-65
2039,-62
2040,-60
2041,-56
2042,-52
2043,-49
2044,-44
2045,-42
2046,-37
2047,-31
2048,-27
2049,-23
2050,-20
2051,-13
2052,-11
2053,-7
2054,-1
2055,3
2056,8
2057,12
2058,16
2059,19
2060,24
2061,27
2062,30
2063,34
2064,36
2065,38
2066,42
2067,44
2068,45
2069,48
2070,50
2071,51
2072,51
2073,52
2074,52
2075,52
2076,52
2077,51
2078,51
2079,49
2080,48
2081,47
2082,46
2083,43
2084,41
2085,39
2086,36
2087,33
2088,31
2089,27
2090,25
2091,24
2092,20
2093,18
2094,15
2095,10
2096,8
2097,4
2098,3
2099,-2
2100,-4
2101,-6
2102,-10
2103,-11
2104,-14
2105,-17
2106,-17
2107,-20
2108,-22
2109,-23
2110,-24
2111,-25
2112,-27
2113,-26
2114,-27
2115,-27
2116,-28
2117,-27
2118,-28
2119,-26
2120,-25
2121,-24
2122,-23
2123,-23
2124,-20
2125,-19
2126,-17
2127,-15
2128,-13
2129,-11
2130,-9
2131,-6
2132,-5
2133,-4
2134,-2
2135,1
2136,4
2137,5
2138,9
2139,9
2140,12
2141,13
2142,15
2143,18
2144,18
2145,20
2146,22
2147,23
2148,24
2149,24
2150,25
2151,26
2152,25
2153,26
2154,24
2155,24
2156,24
2157,24
2158,22
2159,21
2160,21
2161,19
2162,16
2163,16
2164,14
2165,12
2166,10
2167,8
2168,5
2169,3
2170,0
2171,-2
2172,-6
2173,-7
2174,-9
2175,-13
2176,-14
2177,-18
2178,-18
2179,-22
2180,-24
2181,-26
2182,-28
2183,-30
2184,-32
2185,-34
2186,-35
2187,-37
2188,-38
2189,-39
2190,-39
2191,-41
2192,-41
2193,-40
2194,-40
2195,-41
2196,-42
2197,-38
2198,-39
2199,-37
2200,-35
2201,-35
2202,-33
2203,-30
2204,-30
2205,-28
2206,-25
2207,-23
2208,-21
2209,-18
2210,-15
2211,-12
2212,-10
2213,-6
2214,-4
2215,0
2216,3
2217,5
2218,10
2219,12
2220,16
2221,18
2222,21
2223,25
2224,26
2225,29
2226,31
2227,33
2228,36
2229,37
2230,40
2231,41
2232,42
2233,45
2234,45
2235,45
2236,47
2237,49
2238,47
2239,48
2240,47
2241,47
2242,46
2243,47
2244,45
2245,44
2246,45
2247,42
2248,39
2249,39
2250,37
2251,35
2252,33
2253,31
2254,28
2255,25
2256,24
2257,21
2258,19
2259,16
2260,14
2261,9
2262,7
2263,4
2264,0
2265,-1
2266,-4
2267,-6
2268,-8
2269,-11
2270,-13
2271,-16
2272,-18
2273,-19
2274,-21
2275,-23
2276,-25
2277,-26
2278,-29
2279,-29
2280,-30
2281,-33
2282,-33
2283,-34
2284,-36
2285,-35
2286,-36
2287,-35
2288,-36
2289,-35
2290,-36
2291,-36
2292,-36
2293,-34
2294,-35
2295,-34
2296,-31
2297,-33
2298,-31
2299,-31
2300,-30
2301,-29
2302,-27
2303,-26
2304,-25
2305,-23
2306,-22
2307,-22
2308,-20
2309,-19
2310,-17
2311,-17
2312,-15
2313,-15
2314,-13
2315,-12
2316,-11
2317,-10
2318,-10
2319,-8
2320,-8
2321,-6
2322,-6
2323,-4
2324,-3
2325,-1
2326,0
2327,1
2328,0
2329,2
2330,3
2331,4
2332,5
2333,6
2334,5
2335,6
2336,7
2337,7
2338,8
2339,9
2340,11
2341,11
2342,14
2343,13
2344,13
2345,15
2346,16
2347,17
2348,19
2349,19
2350,20
2351,22
2352,23
2353,23
2354,24
2355,26
2356,27
2357,27
2358,29
2359,30
2360,31
2361,32
2362,33
2363,33
2364,35
2365,35
2366,36
2367,36
2368,36
2369,38
2370,37
2371,37
2372,36
2373,38
2374,37
2375,37
2376,38
2377,36
2378,37
2379,35
2380,34
2381,33
2382,32
2383,30
2384,29
2385,28
2386,26
2387,23
2388,22
2389,18
2390,15
2391,12
2392,11
2393,6
2394,5
2395,2
2396,-2
2397,-5
2398,-8
2399,-12
2400,-15
2401,-18
2402,-21
2403,-25
2404,-28
2405,-31
2406,-34
2407,-38
2408,-41
2409,-44
2410,-47
2411,-50
2412,-53
2413,-54
2414,-57
2415,-60
2416,-61
2417,-64
2418,-65
2419,-67
2420,-67
2421,-68
2422,-68
2423,-69
2424,-69
2425,-69
2426,-69
2427,-68
2428,-66
2429,-65
2430,-64
2431,-61
2432,-57
2433,-56
2434,-54
2435,-51
2436,-47
2437,-45
2438,-39
2439,-36
2440,-33
2441,-27
2442,-24
2443,-20
2444,-15
2445,-10
2446,-5
2447,0
2448,5
2449,10
2450,14
2451,20
2452,23
2453,30
2454,34
2455,39
2456,44
2457,48
2458,53
2459,56
2460,61
2461,63
2462,67
2463,71
2464,73
2465,75
2466,77
2467,79
2468,81
2469,82
2470,83
2471,83
2472,84
2473,83
2474,83
2475,82
2476,80
2477,79
2478,78
2479,74
2480,72
2481,70
2482,67
2483,63
2484,60
2485,56
2486,52
2487,47
2488,43
2489,38
2490,32
2491,29
2492,22
2493,19
2494,12
2495,5
2496,2
2497,-5
2498,-9
2499,-16
2500,-20
2501,-25
2502,-30
2503,-34
2504,-40
2505,-43
2506,-48
2507,-52
2508,-56
2509,-59
2510,-62
2511,-66
2512,-67
2513,-70
2514,-71
2515,-73
2516,-74
2517,-77
2518,-76
2519,-78
2520,-78
2521,-76
2522,-76
2523,-75
2524,-73
2525,-71
2526,-70
2527,-66
2528,-64
2529,-62
2530,-59
2531,-55
2532,-52
2533,-48
2534,-45
2535,-40
2536,-35
2537,-31
2538,-27
2539,-23
2540,-17
2541,-13
2542,-9
2543,-3
2544,0
2545,5
2546,9
2547,13
2548,17
2549,21
2550,25
2551,29
2552,32
2553,35
2554,38
2555,41
2556,43
2557,45
2558,47
2559,50
2560,52
2561,53
2562,53
2563,54
2564,54
2565,54
2566,53
2567,53
2568,53
2569,51
2570,50
2571,49
2572,46
2573,45
2574,41
2575,38
2576,37
2577,34
2578,33
2579,28
2580,26
2581,24
2582,20
2583,17
2584,14
2585,10
2586,6
2587,5
2588,0
2589,-2
2590,-5
2591,-10
2592,-11
2593,-14
2594,-15
2595,-19
2596,-20
2597,-22
2598,-24
2599,-26
2600,-27
2601,-28
2602,-30
2603,-29
2604,-31
2605,-30
2606,-31
2607,-31
2608,-30
2609,-29
2610,-29
2611,-27
2612,-27
2613,-25
2614,-24
2615,-21
2616,-19
2617,-18
2618,-15
2619,-14
2620,-11
2621,-9
2622,-7
2623,-3
2624,-2
2625,0
2626,2
2627,7
2628,7
2629,8
2630,12
2631,14
2632,16
2633,19
2634,21
2635,22
2636,25
2637,25
2638,25
2639,28
2640,29
2641,29
2642,28
2643,30
2644,29
2645,28
2646,28
2647,27
2648,26
2649,26
2650,24
2651,23
2652,22
2653,20
2654,17
2655,16
2656,13
2657,10
2658,9
2659,6
2660,4
2661,1
2662,-2
2663,-4
2664,-8
2665,-11
2666,-13
2667,-15
2668,-19
2669,-21
2670,-23
2671,-28
2672,-29
2673,-31
2674,-32
2675,-36
2676,-37
2677,-38
2678,-40
2679,-41
2680,-43
2681,-44
2682,-45
2683,-44
2684,-46
2685,-46
2686,-45
2687,-44
2688,-43
2689,-42
2690,-40
2691,-39
2692,-38
2693,-36
2694,-35
2695,-32
2696,-30
2697,-28
2698,-24
2699,-22
2700,-19
2701,-18
2702,-14
2703,-9
2704,-7
2705,-3
2706,0
2707,3
2708,6
2709,12
2710,13
