sample,dac_signed
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,2
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,-1
49,-2
50,-2
51,-3
52,-3
53,-3
54,-3
55,-3
56,-3
57,-4
58,-4
59,-4
60,-4
61,-4
62,-5
63,-5
64,-5
65,-9
66,-10
67,-10
68,-10
69,-10
70,-9
71,-9
72,-10
73,-10
74,-9
75,-9
76,-9
77,-9
78,-8
79,-9
80,-9
81,-8
82,-8
83,-7
84,-7
85,-6
86,-6
87,-6
88,-5
89,-4
90,-4
91,-4
92,-4
93,-2
94,-2
95,-2
96,-2
97,-1
98,-1
99,-1
100,-1
101,0
102,0
103,0
104,0
105,2
106,2
107,2
108,2
109,2
110,2
111,3
112,3
113,3
114,3
115,3
116,2
117,3
118,3
119,3
120,2
121,2
122,3
123,2
124,2
125,2
126,1
127,2
128,2
129,2
130,3
131,2
132,3
133,2
134,1
135,1
136,0
137,1
138,0
139,0
140,-1
141,-1
142,0
143,-1
144,-1
145,-1
146,-1
147,-2
148,-2
149,-3
150,-3
151,-2
152,-3
153,-3
154,-2
155,-3
156,-2
157,-2
158,-3
159,-2
160,-2
161,-1
162,-2
163,-1
164,-2
165,-2
166,-1
167,-1
168,0
169,-1
170,0
171,0
172,0
173,-1
174,0
175,0
176,-1
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,1
190,1
191,-1
192,0
193,0
194,-1
195,0
196,-1
197,-1
198,-1
199,-1
200,-2
201,-2
202,-3
203,-3
204,-3
205,-3
206,-5
207,-5
208,-5
209,-5
210,-6
211,-6
212,-6
213,-6
214,-7
215,-7
216,-8
217,-8
218,-8
219,-8
220,-9
221,-9
222,-8
223,-8
224,-8
225,-8
226,-8
227,-8
228,-8
229,-8
230,-9
231,-7
232,-7
233,-8
234,-6
235,-6
236,-5
237,-5
238,-5
239,-4
240,-4
241,-4
242,-3
243,-3
244,-2
245,-1
246,-2
247,0
248,0
249,1
250,1
251,1
252,2
253,2
254,3
255,3
256,3
257,5
258,4
259,4
260,6
261,7
262,6
263,7
264,7
265,7
266,7
267,8
268,8
269,8
270,8
271,7
272,7
273,7
274,6
275,7
276,6
277,6
278,6
279,6
280,6
281,5
282,5
283,4
284,4
285,3
286,4
287,3
288,2
289,2
290,1
291,1
292,1
293,0
294,0
295,-1
296,-1
297,-1
298,-2
299,-3
300,-2
301,-3
302,-4
303,-4
304,-4
305,-3
306,-4
307,-3
308,-4
309,-4
310,-4
311,-4
312,-4
313,-4
314,-5
315,-4
316,-4
317,-4
318,-4
319,-4
320,-3
321,-4
322,-3
323,-3
324,-4
325,-3
326,-4
327,-2
328,-2
329,-3
330,-2
331,-3
332,-2
333,-3
334,-2
335,-3
336,-2
337,-1
338,-2
339,-2
340,-3
341,-2
342,-3
343,-3
344,-3
345,-4
346,-4
347,-4
348,-5
349,-4
350,-5
351,-6
352,-6
353,-7
354,-6
355,-8
356,-7
357,-9
358,-8
359,-9
360,-9
361,-10
362,-11
363,-10
364,-11
365,-10
366,-11
367,-12
368,-11
369,-13
370,-12
371,-11
372,-12
373,-13
374,-11
375,-12
376,-11
377,-11
378,-11
379,-11
380,-10
381,-9
382,-9
383,-7
384,-6
385,-7
386,-5
387,-4
388,-4
389,-3
390,-2
391,0
392,1
393,3
394,3
395,5
396,6
397,8
398,9
399,10
400,12
401,14
402,15
403,17
404,16
405,19
406,18
407,20
408,22
409,23
410,24
411,25
412,25
413,25
414,26
415,26
416,27
417,27
418,27
419,26
420,27
421,26
422,25
423,25
424,24
425,24
426,22
427,22
428,19
429,18
430,17
431,15
432,14
433,13
434,10
435,8
436,7
437,5
438,3
439,1
440,-1
441,-4
442,-7
443,-7
444,-12
445,-12
446,-15
447,-18
448,-18
449,-22
450,-23
451,-26
452,-28
453,-29
454,-30
455,-36
456,-38
457,-39
458,-40
459,-41
460,-43
461,-44
462,-44
463,-45
464,-45
465,-46
466,-45
